kind_a,key_a,kind_b,key_b,matches,wins,win_rate
hero,nevermore,ability,nevermore_frenzy,1325,758,0.572075
hero,drow_ranger,ability,drow_ranger_marksmanship,1323,731,0.552532
hero,witch_doctor,ability,witch_doctor_death_ward,1322,635,0.480333
ability,bristleback_quill_spray,ability,bristleback_warpath,1319,642,0.486732
hero,drow_ranger,ability,drow_ranger_frost_arrows,1313,748,0.569688
hero,enigma,ability,enigma_black_hole,1312,670,0.510671
hero,visage,ability,visage_soul_assumption,1311,677,0.516400
hero,dark_seer,ability,dark_seer_ion_shell,1308,659,0.503823
hero,silencer,ability,silencer_glaives_of_wisdom,1302,725,0.556836
hero,slark,ability,slark_pounce,1286,552,0.429238
ability,huskar_berserkers_blood,ability,huskar_life_break,1282,660,0.514821
ability,earthshaker_aftershock,ability,earthshaker_echo_slam,1276,726,0.568966
hero,warlock,ability,warlock_fatal_bonds,1275,643,0.504314
hero,rattletrap,ability,rattletrap_battery_assault,1273,674,0.529458
hero,nevermore,ability,nevermore_dark_lord,1272,778,0.611635
ability,snapfire_mortimer_kisses,ability,snapfire_firesnap_cookie,1269,684,0.539007
hero,warlock,ability,warlock_rain_of_chaos,1259,704,0.559174
hero,vengefulspirit,ability,vengefulspirit_wave_of_terror,1256,688,0.547771
hero,witch_doctor,ability,witch_doctor_maledict,1254,601,0.479266
hero,skywrath_mage,ability,skywrath_mage_mystic_flare,1239,624,0.503632
hero,pugna,ability,pugna_nether_blast,1236,616,0.498382
hero,largo,ability,largo_catchy_lick,1233,672,0.545012
ability,crystal_maiden_frostbite,ability,crystal_maiden_freezing_field,1229,723,0.588283
ability,sandking_scorpion_strike,ability,sandking_epicenter,1221,520,0.425880
hero,sand_king,ability,sandking_burrowstrike,1221,562,0.460278
ability,antimage_mana_break,ability,antimage_mana_void,1220,521,0.427049
hero,beastmaster,ability,beastmaster_wild_axes,1212,608,0.501650
ability,terrorblade_conjure_image,ability,terrorblade_metamorphosis,1208,619,0.512417
hero,pangolier,ability,pangolier_shield_crash,1205,581,0.482158
hero,lion,ability,lion_finger_of_death,1203,498,0.413965
ability,spirit_breaker_greater_bash,ability,spirit_breaker_nether_strike,1202,548,0.455907
hero,silencer,ability,silencer_curse_of_the_silent,1201,616,0.512906
hero,hoodwink,ability,hoodwink_scurry,1194,670,0.561139
hero,witch_doctor,ability,witch_doctor_paralyzing_cask,1186,593,0.500000
ability,magnataur_skewer,ability,magnataur_reverse_polarity,1182,617,0.521997
hero,oracle,ability,oracle_fortunes_end,1182,616,0.521151
hero,mirana,ability,mirana_leap,1180,604,0.511864
hero,medusa,ability,medusa_split_shot,1176,671,0.570578
ability,spirit_breaker_charge_of_darkness,ability,spirit_breaker_greater_bash,1175,631,0.537021
hero,sven,ability,sven_great_cleave,1175,619,0.526809
hero,abyssal_underlord,ability,abyssal_underlord_firestorm,1173,642,0.547315
hero,grimstroke,ability,grimstroke_ink_creature,1166,650,0.557461
hero,obsidian_destroyer,ability,obsidian_destroyer_sanity_eclipse,1162,557,0.479346
hero,nyx_assassin,ability,nyx_assassin_jolt,1159,568,0.490078
hero,death_prophet,ability,death_prophet_carrion_swarm,1153,620,0.537728
hero,magnataur,ability,magnataur_reverse_polarity,1153,574,0.497832
hero,razor,ability,razor_static_link,1149,611,0.531767
hero,sand_king,ability,sandking_epicenter,1142,480,0.420315
hero,shredder,ability,shredder_whirling_death,1142,559,0.489492
ability,nyx_assassin_jolt,ability,nyx_assassin_vendetta,1140,535,0.469298
hero,furion,ability,furion_sprout,1135,568,0.500441
hero,keeper_of_the_light,ability,keeper_of_the_light_chakra_magic,1132,531,0.469081
hero,naga_siren,ability,naga_siren_rip_tide,1132,631,0.557420
hero,crystal_maiden,ability,crystal_maiden_frostbite,1130,589,0.521239
hero,phantom_assassin,ability,phantom_assassin_phantom_strike,1127,542,0.480923
hero,legion_commander,ability,legion_commander_moment_of_courage,1124,532,0.473310
hero,leshrac,ability,leshrac_split_earth,1124,621,0.552491
hero,troll_warlord,ability,troll_warlord_fervor,1122,498,0.443850
hero,warlock,ability,warlock_upheaval,1122,580,0.516934
hero,pugna,ability,pugna_life_drain,1119,560,0.500447
ability,grimstroke_soul_chain,ability,grimstroke_ink_creature,1105,634,0.573756
hero,snapfire,ability,snapfire_scatterblast,1104,575,0.520833
hero,riki,ability,riki_blink_strike,1100,503,0.457273
hero,chaos_knight,ability,chaos_knight_reality_rift,1099,574,0.522293
ability,drow_ranger_multishot,ability,drow_ranger_marksmanship,1098,513,0.467213
hero,clinkz,ability,clinkz_searing_arrows,1098,473,0.430783
hero,lina,ability,lina_dragon_slave,1096,551,0.502737
hero,tidehunter,ability,tidehunter_kraken_shell,1094,551,0.503656
hero,skywrath_mage,ability,skywrath_mage_concussive_shot,1093,557,0.509607
hero,shredder,ability,shredder_reactive_armor,1089,530,0.486685
hero,medusa,ability,medusa_mystic_snake,1087,622,0.572217
ability,enigma_midnight_pulse,ability,enigma_black_hole,1086,601,0.553407
ability,bounty_hunter_shuriken_toss,ability,bounty_hunter_track,1083,496,0.457987
hero,tusk,ability,tusk_snowball,1080,633,0.586111
hero,drow_ranger,ability,drow_ranger_wave_of_silence,1078,579,0.537106
hero,earthshaker,ability,earthshaker_enchant_totem,1077,518,0.480966
hero,night_stalker,ability,night_stalker_void,1070,579,0.541121
ability,tinker_march_of_the_machines,ability,tinker_rearm,1065,445,0.417840
hero,storm_spirit,ability,storm_spirit_overload,1064,518,0.486842
hero,lone_druid,ability,lone_druid_entangle,1063,483,0.454374
hero,pudge,ability,pudge_dismember,1062,538,0.506591
hero,windrunner,ability,windrunner_focusfire,1061,502,0.473139
hero,disruptor,ability,disruptor_thunder_strike,1060,576,0.543396
hero,sniper,ability,sniper_headshot,1057,507,0.479659
ability,drow_ranger_multishot,ability,drow_ranger_frost_arrows,1053,544,0.516619
ability,centaur_double_edge,ability,centaur_return,1052,579,0.550380
hero,leshrac,ability,leshrac_pulse_nova,1039,624,0.600577
hero,shadow_shaman,ability,shadow_shaman_mass_serpent_ward,1037,569,0.548698
ability,phantom_lancer_spirit_lance,ability,phantom_lancer_juxtapose,1035,492,0.475362
hero,legion_commander,ability,legion_commander_overwhelming_odds,1035,551,0.532367
hero,muerta,ability,muerta_pierce_the_veil,1035,544,0.525604
hero,silencer,ability,silencer_global_silence,1033,545,0.527590
hero,bounty_hunter,ability,bounty_hunter_jinada,1030,487,0.472816
hero,snapfire,ability,snapfire_firesnap_cookie,1019,546,0.535819
hero,nyx_assassin,ability,nyx_assassin_vendetta,1017,470,0.462144
hero,juggernaut,ability,juggernaut_blade_dance,1016,525,0.516732
hero,viper,ability,viper_poison_attack,1015,520,0.512315
hero,medusa,ability,medusa_stone_gaze,1014,562,0.554241
hero,shadow_shaman,ability,shadow_shaman_ether_shock,1014,538,0.530572
hero,phantom_lancer,ability,phantom_lancer_juxtapose,1006,523,0.519881
hero,ringmaster,ability,ringmaster_tame_the_beasts,1005,494,0.491542
ability,troll_warlord_fervor,ability,troll_warlord_battle_trance,1004,489,0.487052
ability,witch_doctor_paralyzing_cask,ability,witch_doctor_death_ward,1002,502,0.500998
hero,clinkz,ability,clinkz_strafe,1000,430,0.430000
ability,void_spirit_astral_step,ability,void_spirit_resonant_pulse,999,507,0.507508
ability,chaos_knight_chaos_strike,ability,chaos_knight_phantasm,996,549,0.551205
hero,muerta,ability,muerta_gunslinger,996,466,0.467871
hero,monkey_king,ability,monkey_king_jingu_mastery,993,509,0.512588
hero,ember_spirit,ability,ember_spirit_flame_guard,992,479,0.482863
hero,rubick,ability,rubick_fade_bolt,990,510,0.515152
hero,abyssal_underlord,ability,abyssal_underlord_pit_of_malice,988,542,0.548583
hero,disruptor,ability,disruptor_glimpse,977,480,0.491300
hero,troll_warlord,ability,troll_warlord_battle_trance,977,482,0.493347
hero,lycan,ability,lycan_shapeshift,972,514,0.528807
hero,wisp,ability,wisp_tether,971,536,0.552008
hero,queenofpain,ability,queenofpain_sonic_wave,967,451,0.466391
hero,void_spirit,ability,void_spirit_resonant_pulse,967,458,0.473630
hero,bane,ability,bane_fiends_grip,965,506,0.524352
hero,axe,ability,axe_culling_blade,963,473,0.491173
hero,beastmaster,ability,beastmaster_primal_roar,953,441,0.462749
hero,rubick,ability,rubick_arcane_supremacy,950,490,0.515789
ability,slark_dark_pact,ability,slark_shadow_dance,944,529,0.560381
hero,bloodseeker,ability,bloodseeker_thirst,941,563,0.598300
ability,sven_great_cleave,ability,sven_gods_strength,936,502,0.536325
hero,sniper,ability,sniper_shrapnel,936,486,0.519231
hero,necrolyte,ability,necrolyte_heartstopper_aura,935,468,0.500535
hero,phantom_assassin,ability,phantom_assassin_stifling_dagger,933,411,0.440514
ability,razor_storm_surge,ability,razor_eye_of_the_storm,932,461,0.494635
hero,sven,ability,sven_gods_strength,931,466,0.500537
ability,keeper_of_the_light_chakra_magic,ability,keeper_of_the_light_spirit_form,928,461,0.496767
hero,grimstroke,ability,grimstroke_soul_chain,928,520,0.560345
hero,slark,ability,slark_dark_pact,927,424,0.457389
ability,pudge_meat_hook,ability,pudge_dismember,921,465,0.504886
ability,drow_ranger_marksmanship,ability,drow_ranger_wave_of_silence,920,440,0.478261
hero,morphling,ability,morphling_waveform,919,528,0.574538
hero,snapfire,ability,snapfire_mortimer_kisses,919,494,0.537541
ability,axe_counter_helix,ability,axe_culling_blade,918,450,0.490196
hero,bane,ability,bane_brain_sap,918,471,0.513072
hero,windrunner,ability,windrunner_shackleshot,917,446,0.486369
hero,crystal_maiden,ability,crystal_maiden_freezing_field,914,478,0.522976
hero,spirit_breaker,ability,spirit_breaker_greater_bash,914,453,0.495624
ability,faceless_void_time_lock,ability,faceless_void_chronosphere,913,428,0.468784
ability,templar_assassin_meld,ability,templar_assassin_psi_blades,911,448,0.491767
hero,ember_spirit,ability,ember_spirit_searing_chains,909,424,0.466447
hero,monkey_king,ability,monkey_king_boundless_strike,905,464,0.512707
hero,faceless_void,ability,faceless_void_time_walk,903,458,0.507198
hero,lina,ability,lina_laguna_blade,903,444,0.491694
hero,riki,ability,riki_tricks_of_the_trade,902,385,0.426829
hero,necrolyte,ability,necrolyte_reapers_scythe,901,408,0.452830
hero,obsidian_destroyer,ability,obsidian_destroyer_astral_imprisonment,901,437,0.485017
ability,shadow_shaman_shackles,ability,shadow_shaman_mass_serpent_ward,896,470,0.524554
hero,abaddon,ability,abaddon_borrowed_time,895,487,0.544134
hero,lich,ability,lich_frost_nova,894,455,0.508949
ability,lycan_feral_impulse,ability,lycan_shapeshift,893,481,0.538634
hero,earthshaker,ability,earthshaker_echo_slam,891,464,0.520763
hero,omniknight,ability,omniknight_hammer_of_purity,890,469,0.526966
hero,sand_king,ability,sandking_sand_storm,889,420,0.472441
ability,slardar_slithereen_crush,ability,slardar_amplify_damage,888,458,0.515766
hero,tinker,ability,tinker_laser,887,405,0.456595
hero,luna,ability,luna_lucent_beam,885,470,0.531073
ability,warlock_fatal_bonds,ability,warlock_rain_of_chaos,884,443,0.501131
hero,brewmaster,ability,brewmaster_drunken_brawler,884,449,0.507919
hero,slark,ability,slark_shadow_dance,884,477,0.539593
hero,phoenix,ability,phoenix_icarus_dive,879,453,0.515358
hero,templar_assassin,ability,templar_assassin_psi_blades,876,417,0.476027
ability,abaddon_death_coil,ability,abaddon_borrowed_time,875,460,0.525714
hero,queenofpain,ability,queenofpain_shadow_strike,872,398,0.456422
hero,spectre,ability,spectre_haunt,871,430,0.493685
hero,puck,ability,puck_dream_coil,870,346,0.397701
hero,storm_spirit,ability,storm_spirit_static_remnant,868,395,0.455069
ability,huskar_burning_spear,ability,huskar_berserkers_blood,867,470,0.542099
ability,obsidian_destroyer_arcane_orb,ability,obsidian_destroyer_sanity_eclipse,867,395,0.455594
ability,rubick_fade_bolt,ability,rubick_arcane_supremacy,867,402,0.463668
ability,alchemist_corrosive_weaponry,ability,alchemist_chemical_rage,865,461,0.532948
hero,razor,ability,razor_plasma_field,865,499,0.576879
hero,jakiro,ability,jakiro_dual_breath,864,366,0.423611
ability,storm_spirit_static_remnant,ability,storm_spirit_ball_lightning,863,436,0.505214
hero,magnataur,ability,magnataur_shockwave,863,436,0.505214
hero,phoenix,ability,phoenix_supernova,863,416,0.482039
hero,terrorblade,ability,terrorblade_metamorphosis,861,470,0.545877
hero,winter_wyvern,ability,winter_wyvern_arctic_burn,861,468,0.543554
ability,bristleback_viscous_nasal_goo,ability,bristleback_warpath,860,371,0.431395
ability,pugna_decrepify,ability,pugna_life_drain,860,407,0.473256
hero,phantom_assassin,ability,phantom_assassin_coup_de_grace,858,371,0.432401
hero,terrorblade,ability,terrorblade_conjure_image,858,474,0.552448
ability,axe_berserkers_call,ability,axe_culling_blade,857,453,0.528588
hero,lich,ability,lich_sinister_gaze,856,453,0.529206
hero,pudge,ability,pudge_meat_hook,855,433,0.506433
ability,clinkz_searing_arrows,ability,clinkz_wind_walk,854,421,0.492974
hero,bounty_hunter,ability,bounty_hunter_track,850,412,0.484706
hero,doom_bringer,ability,doom_bringer_doom,850,419,0.492941
ability,disruptor_kinetic_field,ability,disruptor_static_storm,849,410,0.482921
hero,omniknight,ability,omniknight_purification,849,465,0.547703
hero,venomancer,ability,venomancer_venomous_gale,849,375,0.441696
ability,sniper_headshot,ability,sniper_take_aim,847,416,0.491145
hero,life_stealer,ability,life_stealer_feast,847,471,0.556080
hero,sniper,ability,sniper_take_aim,846,478,0.565012
hero,ancient_apparition,ability,ancient_apparition_cold_feet,845,427,0.505325
ability,juggernaut_blade_dance,ability,juggernaut_omni_slash,844,408,0.483412
ability,medusa_split_shot,ability,medusa_stone_gaze,843,418,0.495848
ability,mars_arena_of_blood,ability,mars_spear,840,468,0.557143
hero,faceless_void,ability,faceless_void_time_lock,840,382,0.454762
hero,skeleton_king,ability,skeleton_king_reincarnation,839,503,0.599523
ability,windrunner_shackleshot,ability,windrunner_focusfire,837,379,0.452808
ability,dark_willow_bramble_maze,ability,dark_willow_cursed_crown,834,428,0.513189
ability,leshrac_diabolic_edict,ability,leshrac_pulse_nova,833,429,0.515006
hero,skeleton_king,ability,skeleton_king_mortal_strike,832,437,0.525240
hero,shadow_demon,ability,shadow_demon_disruption,830,464,0.559036
ability,marci_bodyguard,ability,marci_unleash,829,470,0.566948
ability,skywrath_mage_arcane_bolt,ability,skywrath_mage_mystic_flare,829,389,0.469240
ability,techies_land_mines,ability,techies_suicide,828,410,0.495169
hero,dazzle,ability,dazzle_shadow_wave,828,416,0.502415
hero,morphling,ability,morphling_adaptive_strike_agi,826,443,0.536320
hero,centaur,ability,centaur_hoof_stomp,820,432,0.526829
hero,grimstroke,ability,grimstroke_dark_artistry,820,392,0.478049
ability,chaos_knight_reality_rift,ability,chaos_knight_phantasm,818,435,0.531785
ability,pudge_rot,ability,pudge_dismember,818,422,0.515892
ability,ember_spirit_sleight_of_fist,ability,ember_spirit_fire_remnant,816,346,0.424020
hero,phantom_lancer,ability,phantom_lancer_phantom_edge,807,384,0.475836
hero,primal_beast,ability,primal_beast_pulverize,807,464,0.574969
hero,sand_king,ability,sandking_scorpion_strike,806,321,0.398263
ability,witch_doctor_maledict,ability,witch_doctor_death_ward,805,390,0.484472
hero,puck,ability,puck_phase_shift,801,361,0.450687
hero,chaos_knight,ability,chaos_knight_chaos_strike,799,419,0.524406
ability,silencer_curse_of_the_silent,ability,silencer_last_word,798,407,0.510025
hero,treant,ability,treant_overgrowth,796,435,0.546482
ability,tiny_tree_grab,ability,tiny_grow,795,387,0.486792
hero,queenofpain,ability,queenofpain_scream_of_pain,795,380,0.477987
hero,rattletrap,ability,rattletrap_power_cogs,795,393,0.494340
hero,terrorblade,ability,terrorblade_sunder,795,397,0.499371
ability,chaos_knight_reality_rift,ability,chaos_knight_chaos_strike,793,403,0.508197
ability,ursa_fury_swipes,ability,ursa_enrage,789,423,0.536122
hero,leshrac,ability,leshrac_diabolic_edict,788,451,0.572335
hero,clinkz,ability,clinkz_wind_walk,786,345,0.438931
hero,spectre,ability,spectre_shadow_step,786,355,0.451654
ability,skywrath_mage_ancient_seal,ability,skywrath_mage_mystic_flare,783,397,0.507024
hero,crystal_maiden,ability,crystal_maiden_crystal_nova,781,372,0.476312
hero,nyx_assassin,ability,nyx_assassin_impale,781,390,0.499360
hero,windrunner,ability,windrunner_powershot,781,376,0.481434
hero,bane,ability,bane_enfeeble,777,423,0.544402
hero,tiny,ability,tiny_toss,776,341,0.439433
hero,bounty_hunter,ability,bounty_hunter_shuriken_toss,772,349,0.452073
hero,mars,ability,mars_arena_of_blood,772,418,0.541451
ability,lich_chain_frost,ability,lich_sinister_gaze,771,436,0.565499
hero,muerta,ability,muerta_dead_shot,771,364,0.472114
hero,ancient_apparition,ability,ancient_apparition_ice_blast,770,421,0.546753
ability,tiny_toss,ability,tiny_grow,768,363,0.472656
ability,bounty_hunter_shuriken_toss,ability,bounty_hunter_jinada,767,337,0.439374
ability,sniper_shrapnel,ability,sniper_assassinate,767,410,0.534550
ability,ember_spirit_searing_chains,ability,ember_spirit_sleight_of_fist,766,365,0.476501
ability,spectre_shadow_step,ability,spectre_haunt,766,358,0.467363
hero,pugna,ability,pugna_decrepify,766,380,0.496084
hero,skywrath_mage,ability,skywrath_mage_ancient_seal,764,392,0.513089
hero,hoodwink,ability,hoodwink_bushwhack,762,388,0.509186
hero,keeper_of_the_light,ability,keeper_of_the_light_spirit_form,760,381,0.501316
hero,pugna,ability,pugna_nether_ward,760,415,0.546053
hero,venomancer,ability,venomancer_noxious_plague,760,354,0.465789
hero,largo,ability,largo_frogstomp,755,403,0.533775
hero,furion,ability,furion_teleportation,753,365,0.484728
hero,slardar,ability,slardar_amplify_damage,753,386,0.512616
hero,techies,ability,techies_land_mines,750,378,0.504000
hero,muerta,ability,muerta_the_calling,749,369,0.492657
hero,ember_spirit,ability,ember_spirit_fire_remnant,747,332,0.444444
hero,puck,ability,puck_illusory_orb,744,326,0.438172
hero,death_prophet,ability,death_prophet_exorcism,743,383,0.515478
hero,hoodwink,ability,hoodwink_sharpshooter,743,374,0.503365
hero,necrolyte,ability,necrolyte_ghost_shroud,743,368,0.495289
hero,furion,ability,furion_wrath_of_nature,741,351,0.473684
hero,spectre,ability,spectre_dispersion,741,393,0.530364
hero,razor,ability,razor_storm_surge,739,424,0.573748
hero,venomancer,ability,venomancer_plague_ward,739,317,0.428958
hero,luna,ability,luna_eclipse,738,392,0.531165
ability,dragon_knight_wyrms_wrath,ability,dragon_knight_elder_dragon_form,736,405,0.550272
ability,necrolyte_death_pulse,ability,necrolyte_reapers_scythe,735,335,0.455782
hero,phoenix,ability,phoenix_fire_spirits,734,376,0.512262
hero,weaver,ability,weaver_geminate_attack,732,301,0.411202
hero,dragon_knight,ability,dragon_knight_dragon_tail,730,431,0.590411
hero,enchantress,ability,enchantress_natures_attendants,728,371,0.509615
ability,phantom_assassin_immaterial,ability,phantom_assassin_coup_de_grace,725,381,0.525517
hero,disruptor,ability,disruptor_static_storm,723,343,0.474412
hero,lion,ability,lion_voodoo,722,351,0.486150
hero,arc_warden,ability,arc_warden_flux,721,382,0.529820
ability,lion_mana_drain,ability,lion_finger_of_death,720,294,0.408333
hero,bloodseeker,ability,bloodseeker_bloodrage,719,362,0.503477
ability,death_prophet_exorcism,ability,death_prophet_spirit_siphon,718,344,0.479109
ability,weaver_geminate_attack,ability,weaver_time_lapse,718,322,0.448468
hero,dawnbreaker,ability,dawnbreaker_solar_guardian,717,359,0.500697
ability,abyssal_underlord_firestorm,ability,abyssal_underlord_pit_of_malice,716,412,0.575419
hero,tidehunter,ability,tidehunter_ravage,716,346,0.483240
ability,bane_brain_sap,ability,bane_fiends_grip,715,399,0.558042
hero,lion,ability,lion_mana_drain,714,298,0.417367
hero,wisp,ability,wisp_spirits,714,383,0.536415
ability,pugna_nether_ward,ability,pugna_life_drain,713,357,0.500701
hero,mirana,ability,mirana_invis,713,347,0.486676
hero,pangolier,ability,pangolier_gyroshell,712,324,0.455056
ability,nyx_assassin_impale,ability,nyx_assassin_vendetta,711,355,0.499297
ability,slardar_bash,ability,slardar_amplify_damage,711,374,0.526020
hero,dragon_knight,ability,dragon_knight_breathe_fire,711,367,0.516174
hero,tiny,ability,tiny_avalanche,711,357,0.502110
ability,jakiro_ice_path,ability,jakiro_macropyre,710,363,0.511268
hero,razor,ability,razor_eye_of_the_storm,709,381,0.537377
ability,lion_voodoo,ability,lion_finger_of_death,708,324,0.457627
ability,drow_ranger_frost_arrows,ability,drow_ranger_marksmanship,707,333,0.471004
ability,tiny_avalanche,ability,tiny_toss,707,352,0.497878
ability,ursa_earthshock,ability,ursa_enrage,705,326,0.462411
ability,phantom_assassin_phantom_strike,ability,phantom_assassin_coup_de_grace,704,340,0.482955
ability,storm_spirit_static_remnant,ability,storm_spirit_overload,704,331,0.470170
hero,mars,ability,mars_spear,703,385,0.547653
ability,medusa_mystic_snake,ability,medusa_stone_gaze,701,366,0.522111
ability,puck_phase_shift,ability,puck_dream_coil,700,316,0.451429
hero,lycan,ability,lycan_feral_impulse,700,365,0.521429
ability,templar_assassin_refraction,ability,templar_assassin_psi_blades,696,379,0.544540
hero,marci,ability,marci_companion_run,695,350,0.503597
hero,elder_titan,ability,elder_titan_natural_order,692,378,0.546243
ability,skywrath_mage_concussive_shot,ability,skywrath_mage_mystic_flare,691,364,0.526773
hero,slark,ability,slark_saltwater_shiv,691,300,0.434153
ability,muerta_gunslinger,ability,muerta_pierce_the_veil,690,363,0.526087
ability,pugna_nether_blast,ability,pugna_life_drain,689,324,0.470247
hero,spectre,ability,spectre_spectral_dagger,687,337,0.490539
ability,tinker_laser,ability,tinker_rearm,685,299,0.436496
hero,tidehunter,ability,tidehunter_gush,685,325,0.474453
hero,bounty_hunter,ability,bounty_hunter_wind_walk,684,364,0.532164
ability,abaddon_aphotic_shield,ability,abaddon_borrowed_time,683,395,0.578331
hero,life_stealer,ability,life_stealer_infest,682,302,0.442815
hero,queenofpain,ability,queenofpain_blink,681,357,0.524229
ability,sandking_burrowstrike,ability,sandking_epicenter,679,329,0.484536
hero,life_stealer,ability,life_stealer_rage,678,334,0.492625
ability,enchantress_untouchable,ability,enchantress_natures_attendants,677,345,0.509601
hero,centaur,ability,centaur_stampede,677,372,0.549483
hero,clinkz,ability,clinkz_death_pact,677,283,0.418021
hero,dark_seer,ability,dark_seer_vacuum,677,337,0.497784
hero,techies,ability,techies_reactive_tazer,676,352,0.520710
ability,hoodwink_acorn_shot,ability,hoodwink_scurry,675,358,0.530370
hero,faceless_void,ability,faceless_void_chronosphere,674,306,0.454006
ability,bounty_hunter_jinada,ability,bounty_hunter_track,673,304,0.451709
hero,dawnbreaker,ability,dawnbreaker_celestial_hammer,673,343,0.509658
hero,medusa,ability,medusa_gorgon_grasp,672,350,0.520833
