kind,key,pool_appearances,deliberate_picks,pick_rate
ability,undying_flesh_golem,4702,4614,0.981285
hero,windrunner,4487,4401,0.980834
ability,nevermore_dark_lord,4463,4376,0.980506
hero,death_prophet,4611,4521,0.980481
ability,marci_bodyguard,4538,4445,0.979506
ability,treant_leech_seed,4651,4554,0.979144
ability,tiny_grow,4684,4585,0.978864
ability,nyx_assassin_spiked_carapace,4718,4616,0.978381
ability,bloodseeker_bloodrage,4538,4439,0.978184
ability,witch_doctor_paralyzing_cask,4602,4501,0.978053
ability,axe_berserkers_call,4636,4534,0.977998
ability,sven_gods_strength,4881,4772,0.977669
ability,phantom_lancer_doppelwalk,4513,4412,0.977620
ability,magnataur_skewer,4542,4439,0.977323
ability,invoker_alacrity_ad,1397,1365,0.977094
ability,puck_dream_coil,4757,4646,0.976666
hero,snapfire,4400,4296,0.976364
ability,doom_bringer_doom,4856,4741,0.976318
ability,bounty_hunter_track,4668,4557,0.976221
hero,ogre_magi,4496,4388,0.975979
ability,huskar_burning_spear,4530,4419,0.975497
hero,jakiro,4483,4372,0.975240
ability,viper_viper_strike,4649,4531,0.974618
hero,pudge,4516,4398,0.973871
ability,invoker_sun_strike_ad,1401,1364,0.973590
ability,tiny_tree_grab,4504,4385,0.973579
hero,mirana,4501,4382,0.973561
ability,treant_overgrowth,4827,4695,0.972654
ability,mars_gods_rebuke,4602,4476,0.972621
ability,slardar_slithereen_crush,4535,4406,0.971555
ability,bane_fiends_grip,4812,4675,0.971530
ability,naga_siren_mirror_image,4480,4352,0.971429
ability,tidehunter_ravage,4725,4590,0.971429
hero,leshrac,4541,4411,0.971372
ability,gyrocopter_homing_missile,4492,4362,0.971060
ability,tusk_snowball,4539,4403,0.970037
hero,queenofpain,4502,4367,0.970013
ability,techies_suicide,4495,4360,0.969967
ability,centaur_return,4608,4469,0.969835
ability,batrider_sticky_napalm,4558,4419,0.969504
ability,drow_ranger_marksmanship,4772,4624,0.968986
ability,skywrath_mage_concussive_shot,4515,4373,0.968549
ability,phantom_assassin_immaterial,4506,4364,0.968486
ability,shadow_demon_disruption,4409,4270,0.968474
ability,pangolier_lucky_shot,4572,4427,0.968285
ability,jakiro_liquid_ice,2245,2171,0.967038
ability,shredder_whirling_death,4569,4416,0.966513
ability,windrunner_focusfire,4703,4545,0.966404
hero,vengefulspirit,4495,4343,0.966185
hero,techies,4434,4276,0.964366
ability,tinker_rearm,4534,4369,0.963608
hero,arc_warden,4421,4260,0.963583
ability,lion_voodoo,4564,4396,0.963190
ability,dawnbreaker_fire_wreath,4580,4410,0.962882
ability,mirana_arrow,4565,4395,0.962760
ability,elder_titan_natural_order,4499,4327,0.961769
ability,ancient_apparition_ice_blast,4657,4478,0.961563
hero,gyrocopter,4426,4253,0.960913
hero,pugna,4581,4400,0.960489
ability,shadow_shaman_voodoo,4576,4394,0.960227
ability,mars_spear,4627,4441,0.959801
ability,bane_nightmare,4656,4468,0.959622
hero,hoodwink,4502,4317,0.958907
ability,terrorblade_reflection,4648,4455,0.958477
ability,centaur_hoof_stomp,4602,4404,0.956975
hero,morphling,4501,4307,0.956898
ability,ursa_enrage,4647,4445,0.956531
ability,lich_chain_frost,4682,4475,0.955788
ability,sniper_shrapnel,4561,4359,0.955711
ability,venomancer_noxious_plague,4657,4448,0.955121
ability,furion_wrath_of_nature,4872,4650,0.954433
ability,bloodseeker_rupture,4685,4471,0.954322
ability,dark_seer_wall_of_replica,4724,4508,0.954276
ability,puck_phase_shift,4601,4388,0.953706
ability,disruptor_glimpse,4613,4398,0.953393
ability,luna_lucent_beam,4525,4312,0.952928
ability,leshrac_split_earth,4593,4376,0.952754
ability,kez_kazurai_katana,2353,2241,0.952401
ability,winter_wyvern_winters_curse,4596,4377,0.952350
hero,slark,4549,4331,0.952077
hero,night_stalker,4585,4365,0.952017
hero,rubick,4448,4234,0.951888
ability,bane_brain_sap,4674,4449,0.951861
ability,visage_soul_assumption,4614,4391,0.951669
ability,kez_falcon_rush_ad,2274,2164,0.951627
ability,phoenix_icarus_dive,4555,4334,0.951482
ability,furion_sprout,4669,4440,0.950953
hero,razor,4505,4283,0.950721
hero,alchemist,4588,4358,0.949869
ability,life_stealer_infest,4638,4404,0.949547
hero,medusa,4507,4278,0.949190
ability,sandking_sand_storm,4502,4269,0.948245
ability,naga_siren_ensnare,4469,4237,0.948087
ability,chaos_knight_reality_rift,4657,4410,0.946962
ability,troll_warlord_battle_trance,4690,4438,0.946269
ability,bristleback_quill_spray,4570,4324,0.946171
ability,ogre_magi_fireblast,4551,4303,0.945506
ability,warlock_rain_of_chaos,4706,4449,0.945389
hero,ancient_apparition,4449,4206,0.945381
ability,warlock_fatal_bonds,4548,4299,0.945251
ability,zuus_thundergods_wrath,4645,4388,0.944672
ability,witch_doctor_death_ward,4748,4480,0.943555
ability,legion_commander_overwhelming_odds,4627,4360,0.942295
ability,dark_willow_bramble_maze,4487,4227,0.942055
ability,invoker_cold_snap_ad,1341,1263,0.941834
ability,largo_catchy_lick,4465,4205,0.941769
ability,storm_spirit_ball_lightning,4630,4360,0.941685
ability,dazzle_poison_touch,4586,4313,0.940471
ability,magnataur_reverse_polarity,4722,4436,0.939432
ability,techies_land_mines,4668,4385,0.939374
ability,magnataur_shockwave,4557,4276,0.938337
ability,wisp_overcharge,4588,4296,0.936356
ability,gyrocopter_rocket_barrage,4492,4205,0.936109
hero,necrolyte,4562,4269,0.935774
ability,invoker_forge_spirit_ad,1368,1280,0.935673
ability,queenofpain_shadow_strike,4555,4258,0.934797
hero,luna,4455,4162,0.934231
ability,lycan_shapeshift,4811,4489,0.933070
hero,batrider,4489,4187,0.932724
hero,juggernaut,4515,4211,0.932669
hero,dazzle,4521,4212,0.931652
hero,centaur,4540,4229,0.931498
ability,razor_plasma_field,4560,4246,0.931140
ability,viper_nethertoxin,4511,4200,0.931057
ability,antimage_counterspell,4593,4276,0.930982
ability,dragon_knight_wyrms_wrath,4610,4286,0.929718
ability,dragon_knight_dragon_tail,4622,4297,0.929684
ability,oracle_fortunes_end,4568,4243,0.928853
ability,bristleback_bristleback,4568,4239,0.927977
ability,faceless_void_chronosphere,4823,4467,0.926187
ability,windrunner_powershot,4550,4212,0.925714
hero,treant,4596,4245,0.923629
ability,wisp_spirits,4562,4213,0.923498
ability,slardar_amplify_damage,4699,4336,0.922750
ability,mars_bulwark,4609,4245,0.921024
ability,lone_druid_entangle,4610,4244,0.920607
hero,dragon_knight,4546,4179,0.919270
hero,skywrath_mage,4439,4077,0.918450
ability,obsidian_destroyer_astral_imprisonment,4600,4222,0.917826
hero,bane,4599,4219,0.917373
ability,void_spirit_resonant_pulse,4550,4174,0.917363
ability,enigma_malefice,4418,4045,0.915573
ability,axe_battle_hunger,4651,4254,0.914642
hero,huskar,4470,4086,0.914094
ability,dawnbreaker_solar_guardian,4732,4324,0.913779
ability,crystal_maiden_freezing_field,4774,4358,0.912861
ability,jakiro_ice_path,4544,4146,0.912412
ability,abaddon_aphotic_shield,4660,4251,0.912232
ability,rattletrap_battery_assault,4512,4114,0.911791
ability,weaver_the_swarm,4497,4092,0.909940
ability,shadow_demon_demonic_purge,4560,4149,0.909868
hero,void_spirit,4497,4087,0.908828
ability,night_stalker_darkness,4799,4359,0.908314
ability,storm_spirit_electric_vortex,4442,4031,0.907474
ability,largo_frogstomp,4455,4035,0.905724
hero,nyx_assassin,4656,4212,0.904639
ability,leshrac_diabolic_edict,4607,4167,0.904493
hero,tinker,4323,3910,0.904464
ability,lina_light_strike_array,4465,4038,0.904367
hero,viper,4443,4018,0.904344
ability,kez_shodo_sai_ad,2319,2097,0.904269
ability,nyx_assassin_jolt,4724,4271,0.904107
ability,dazzle_shadow_wave,4592,4146,0.902875
ability,terrorblade_sunder,4818,4341,0.900996
ability,tinker_laser,4378,3943,0.900640
hero,storm_spirit,4390,3952,0.900228
ability,lich_sinister_gaze,4512,4057,0.899158
ability,venomancer_venomous_gale,4537,4069,0.896848
ability,leshrac_pulse_nova,4742,4251,0.896457
ability,windrunner_shackleshot,4558,4078,0.894691
hero,venomancer,4477,4004,0.894349
ability,omniknight_martyr,4599,4104,0.892368
ability,razor_eye_of_the_storm,4724,4210,0.891194
ability,alchemist_corrosive_weaponry,4656,4147,0.890679
hero,shadow_demon,4337,3862,0.890477
ability,hoodwink_bushwhack,4560,4058,0.889912
ability,necrolyte_death_pulse,4641,4125,0.888817
ability,earthshaker_fissure,4491,3989,0.888221
ability,doom_bringer_scorched_earth,4672,4142,0.886558
hero,primal_beast,4459,3953,0.886522
ability,pugna_nether_blast,4654,4124,0.886119
hero,zuus,4446,3932,0.884390
ability,ember_spirit_fire_remnant,4752,4197,0.883207
ability,invoker_ghost_walk_ad,1363,1201,0.881145
ability,kez_grappling_claw,2263,1993,0.880689
ability,zuus_heavenly_jump,4517,3975,0.880009
hero,monkey_king,4517,3974,0.879787
hero,kunkka,4416,3885,0.879755
ability,jakiro_macropyre,4715,4143,0.878685
ability,muerta_dead_shot,4496,3942,0.876779
ability,legion_commander_press_the_attack,4608,4036,0.875868
hero,dark_willow,4420,3868,0.875113
ability,riki_tricks_of_the_trade,4483,3923,0.875084
ability,luna_lunar_orbit,4514,3950,0.875055
ability,visage_gravekeepers_cloak,4610,4034,0.875054
ability,alchemist_acid_spray,4649,4063,0.873951
ability,earth_spirit_rolling_boulder,4545,3970,0.873487
ability,grimstroke_soul_chain,4705,4107,0.872901
ability,templar_assassin_meld,4594,3998,0.870266
ability,mars_arena_of_blood,4753,4133,0.869556
ability,spectre_haunt,4756,4133,0.869008
ability,shadow_shaman_mass_serpent_ward,4756,4132,0.868797
ability,snapfire_scatterblast,4455,3869,0.868462
ability,phoenix_supernova,4693,4073,0.867888
ability,riki_smoke_screen,4480,3887,0.867634
hero,earthshaker,4423,3836,0.867285
ability,kez_talon_toss_ad,2390,2072,0.866946
ability,phantom_lancer_phantom_edge,4517,3911,0.865840
hero,omniknight,4527,3916,0.865032
ability,snapfire_mortimer_kisses,4617,3992,0.864631
ability,silencer_curse_of_the_silent,4469,3864,0.864623
hero,ember_spirit,4530,3911,0.863355
ability,slark_saltwater_shiv,4620,3985,0.862554
hero,rattletrap,4454,3837,0.861473
ability,arc_warden_flux,4479,3847,0.858897
ability,chaos_knight_phantasm,4798,4117,0.858066
ability,ember_spirit_searing_chains,4615,3952,0.856338
ability,night_stalker_crippling_fear,4674,3994,0.854514
ability,chen_penitence,4583,3912,0.853589
ability,razor_storm_surge,4575,3904,0.853333
ability,pugna_life_drain,4827,4114,0.852289
hero,bloodseeker,4466,3794,0.849530
ability,grimstroke_spirit_walk,4538,3855,0.849493
hero,terrorblade,4563,3862,0.846373
hero,warlock,4479,3790,0.846171
ability,skywrath_mage_ancient_seal,4509,3813,0.845642
ability,silencer_global_silence,4632,3911,0.844344
ability,primal_beast_trample,4532,3821,0.843116
ability,lina_laguna_blade,4617,3891,0.842755
ability,kunkka_ghostship,4623,3880,0.839282
hero,tusk,4453,3736,0.838985
ability,pangolier_shield_crash,4578,3836,0.837920
ability,snapfire_firesnap_cookie,4471,3739,0.836278
hero,magnataur,4495,3757,0.835818
ability,queenofpain_sonic_wave,4703,3926,0.834786
hero,lion,4498,3754,0.834593
ability,death_prophet_carrion_swarm,4668,3895,0.834404
ability,lone_druid_true_form,4761,3972,0.834279
ability,void_spirit_dissimilate,4566,3807,0.833771
hero,phoenix,4488,3739,0.833111
ability,jakiro_dual_breath,4553,3792,0.832857
hero,largo,4401,3665,0.832765
ability,kez_echo_slash,2379,1981,0.832703
hero,visage,4542,3780,0.832232
hero,legion_commander,4554,3784,0.830918
ability,puck_illusory_orb,4592,3814,0.830575
hero,wisp,4509,3729,0.827013
hero,enchantress,4449,3675,0.826028
ability,skywrath_mage_mystic_flare,4705,3886,0.825930
ability,huskar_inner_fire,4541,3742,0.824048
ability,ancient_apparition_cold_feet,4528,3724,0.822438
ability,alchemist_unstable_concoction,4662,3829,0.821321
ability,terrorblade_conjure_image,4633,3795,0.819124
hero,mars,4545,3718,0.818042
hero,troll_warlord,4464,3648,0.817204
ability,slark_dark_pact,4618,3768,0.815938
ability,storm_spirit_overload,4461,3636,0.815064
hero,brewmaster,4563,3719,0.815034
hero,keeper_of_the_light,4586,3736,0.814653
ability,mirana_starfall,4559,3713,0.814433
hero,tidehunter,4537,3692,0.813754
hero,skeleton_king,4456,3624,0.813285
ability,weaver_time_lapse,4637,3770,0.813026
hero,invoker,4598,3738,0.812962
ability,omniknight_purification,4610,3746,0.812581
ability,spectre_spectral_dagger,4568,3701,0.810201
ability,skywrath_mage_arcane_bolt,4502,3642,0.808974
ability,disruptor_thunder_strike,4597,3716,0.808353
hero,witch_doctor,4536,3665,0.807981
ability,obsidian_destroyer_arcane_orb,4588,3703,0.807105
ability,disruptor_static_storm,4749,3823,0.805012
ability,tusk_tag_team,2265,1819,0.803091
ability,slardar_sprint,4531,3629,0.800927
ability,techies_reactive_tazer,4514,3615,0.800842
ability,bloodseeker_blood_bath,4536,3618,0.797619
ability,axe_culling_blade,4795,3821,0.796872
ability,dark_seer_vacuum,4577,3645,0.796373
ability,clinkz_death_pact,4619,3675,0.795627
ability,dawnbreaker_celestial_hammer,4578,3638,0.794670
ability,primal_beast_pulverize,4678,3715,0.794143
ability,tusk_ice_shards,4538,3599,0.793081
ability,tiny_toss,4505,3566,0.791565
ability,marci_companion_run,4535,3580,0.789416
hero,grimstroke,4477,3530,0.788474
hero,clinkz,4541,3580,0.788373
ability,centaur_double_edge,4606,3629,0.787885
ability,medusa_stone_gaze,4736,3730,0.787584
ability,batrider_firefly,4546,3577,0.786846
hero,axe,4581,3598,0.785418
hero,undying,4480,3514,0.784375
ability,kunkka_torrent,4476,3506,0.783289
ability,pugna_nether_ward,4660,3648,0.782833
ability,arc_warden_magnetic_field,4476,3497,0.781278
ability,invoker_chaos_meteor_ad,1386,1077,0.777056
ability,dark_seer_surge,4571,3551,0.776854
ability,troll_warlord_whirling_axes_melee,4528,3515,0.776281
hero,shadow_shaman,4520,3507,0.775885
ability,hoodwink_sharpshooter,4706,3651,0.775818
ability,elder_titan_ancestral_spirit,4494,3486,0.775701
hero,faceless_void,4588,3556,0.775065
hero,pangolier,4512,3497,0.775044
ability,drow_ranger_multishot,4594,3560,0.774924
ability,lion_mana_drain,4578,3541,0.773482
hero,dark_seer,4515,3492,0.773422
hero,lich,4441,3430,0.772349
ability,hoodwink_scurry,4557,3514,0.771121
ability,drow_ranger_wave_of_silence,4601,3529,0.767007
ability,queenofpain_scream_of_pain,4571,3500,0.765697
hero,beastmaster,4614,3532,0.765496
ability,vengefulspirit_nether_swap,4702,3597,0.764994
ability,phantom_lancer_spirit_lance,4506,3443,0.764092
hero,sven,4644,3538,0.761843
ability,winter_wyvern_cold_embrace,4447,3385,0.761187
ability,rubick_fade_bolt,4517,3437,0.760903
ability,nevermore_frenzy,4464,3391,0.759633
ability,sandking_epicenter,4704,3570,0.758929
ability,rattletrap_power_cogs,4540,3439,0.757489
ability,bane_enfeeble,4678,3526,0.753741
ability,kez_raptor_dance,2427,1828,0.753193
hero,earth_spirit,4489,3377,0.752283
ability,void_spirit_aether_remnant,4565,3434,0.752245
hero,phantom_assassin,4430,3329,0.751467
ability,huskar_life_break,4683,3519,0.751441
hero,lone_druid,4543,3413,0.751266
ability,ember_spirit_flame_guard,4590,3445,0.750545
ability,lich_frost_shield,4512,3383,0.749778
ability,pudge_dismember,4761,3567,0.749212
hero,winter_wyvern,4381,3258,0.743666
ability,ringmaster_tame_the_beasts,4452,3297,0.740566
ability,oracle_false_promise,4705,3482,0.740064
hero,life_stealer,4418,3265,0.739022
ability,enchantress_natures_attendants,4542,3350,0.737561
hero,dawnbreaker,4498,3310,0.735883
ability,rattletrap_hookshot,4681,3439,0.734672
hero,bounty_hunter,4442,3257,0.733228
ability,venomancer_plague_ward,4529,3319,0.732833
ability,crystal_maiden_crystal_nova,4618,3383,0.732568
ability,luna_eclipse,4666,3415,0.731890
ability,spirit_breaker_bulldoze,4697,3437,0.731744
ability,puck_waning_rift,4595,3360,0.731230
ability,invoker_tornado_ad,1429,1042,0.729181
hero,disruptor,4535,3302,0.728115
ability,dazzle_shallow_grave,4590,3329,0.725272
hero,chaos_knight,4591,3327,0.724679
ability,muerta_the_calling,4510,3266,0.724169
ability,night_stalker_void,4677,3386,0.723968
hero,puck,4534,3280,0.723423
ability,keeper_of_the_light_spirit_form,4801,3470,0.722766
hero,spectre,4493,3228,0.718451
hero,sand_king,4436,3184,0.717764
hero,kez,4590,3265,0.711329
ability,dark_willow_terrorize,4655,3303,0.709560
ability,ringmaster_the_box,4444,3152,0.709271
ability,pangolier_gyroshell,4743,3360,0.708412
hero,doom_bringer,4602,3243,0.704694
hero,naga_siren,4408,3092,0.701452
ability,centaur_stampede,4738,3315,0.699662
ability,brewmaster_primal_split,4764,3308,0.694374
hero,crystal_maiden,4555,3152,0.691987
ability,kez_ravens_veil_ad,2402,1662,0.691923
hero,chen,4503,3110,0.690651
ability,wisp_tether,4565,3151,0.690252
ability,nevermore_shadowraze2,4457,3075,0.689926
ability,naga_siren_rip_tide,4465,3076,0.688914
hero,oracle,4495,3093,0.688098
ability,ogre_magi_ignite,4546,3123,0.686978
ability,vengefulspirit_wave_of_terror,4561,3120,0.684061
ability,ringmaster_wheel,4602,3138,0.681877
ability,pugna_decrepify,4658,3136,0.673250
ability,primal_beast_onslaught,4532,3046,0.672109
ability,brewmaster_cinder_brew,4628,3107,0.671348
ability,silencer_last_word,4470,2980,0.666667
ability,invoker_emp_ad,1402,933,0.665478
hero,abaddon,4593,3041,0.662094
hero,ringmaster,4381,2898,0.661493
hero,slardar,4469,2955,0.661222
hero,enigma,4360,2877,0.659862
ability,shredder_timber_chain,4575,3012,0.658361
ability,disruptor_kinetic_field,4600,3027,0.658043
hero,marci,4464,2931,0.656586
hero,shredder,4506,2945,0.653573
ability,visage_grave_chill,4593,2978,0.648378
ability,ringmaster_impalement,4449,2877,0.646662
ability,lina_dragon_slave,4475,2882,0.644022
ability,dragon_knight_breathe_fire,4607,2958,0.642066
ability,omniknight_guardian_angel,4733,3037,0.641665
ability,sandking_scorpion_strike,4508,2866,0.635759
ability,invoker_deafening_blast_ad,1413,895,0.633404
ability,sven_warcry,4708,2980,0.632965
ability,marci_grapple,4519,2822,0.624474
ability,lone_druid_spirit_link,4617,2874,0.622482
ability,mirana_invis,4712,2929,0.621604
ability,bounty_hunter_shuriken_toss,4515,2803,0.620819
ability,shadow_shaman_ether_shock,4580,2838,0.619651
ability,bristleback_warpath,4725,2918,0.617566
hero,abyssal_underlord,4445,2738,0.615973
hero,elder_titan,4438,2705,0.609509
ability,lycan_howl,4647,2832,0.609425
ability,lich_frost_nova,4531,2755,0.608034
ability,enigma_midnight_pulse,4436,2688,0.605951
hero,bristleback,4510,2727,0.604656
ability,shredder_chakram,4733,2819,0.595605
ability,grimstroke_dark_artistry,4543,2702,0.594761
ability,enchantress_enchant,4518,2684,0.594068
hero,riki,4418,2624,0.593934
hero,templar_assassin,4536,2669,0.588404
ability,batrider_flaming_lasso,4726,2736,0.578925
ability,treant_natures_grasp,4670,2699,0.577944
ability,spectre_shadow_step,4555,2586,0.567728
hero,tiny,4451,2513,0.564592
hero,weaver,4437,2487,0.560514
ability,necrolyte_ghost_shroud,4646,2604,0.560482
ability,gyrocopter_call_down,4646,2564,0.551873
ability,ursa_earthshock,4515,2486,0.550609
ability,life_stealer_open_wounds,4501,2472,0.549211
ability,venomancer_snakebite,4550,2488,0.546813
hero,lycan,4586,2496,0.544265
hero,spirit_breaker,4627,2509,0.542252
ability,arc_warden_spark_wraith,4474,2422,0.541350
ability,warlock_upheaval,4532,2452,0.541041
ability,elder_titan_earth_splitter,4657,2512,0.539403
ability,faceless_void_time_dilation,4660,2506,0.537768
ability,earthshaker_echo_slam,4677,2508,0.536241
ability,phoenix_fire_spirits,4569,2438,0.533596
ability,medusa_gorgon_grasp,4571,2425,0.530518
ability,ancient_apparition_ice_vortex,4525,2376,0.525083
ability,meepo_ransack,4482,2340,0.522088
ability,dark_willow_cursed_crown,4482,2314,0.516287
ability,troll_warlord_whirling_axes_ranged,4533,2325,0.512905
ability,brewmaster_thunder_clap,4630,2364,0.510583
ability,techies_sticky_bomb,4502,2285,0.507552
hero,phantom_lancer,4451,2214,0.497416
ability,bristleback_viscous_nasal_goo,4576,2265,0.494974
ability,naga_siren_song_of_the_siren,4629,2255,0.487146
ability,largo_croak_of_genius,4464,2172,0.486559
